Major,Major_Code
amity institute of biotechnology,bio
animal biotechnology,bio
b e (biotechnology),bio
b pharmacy,bio
b. pharm,bio
b. pharmacy,bio
"b.e (chemical), m.sc( biological sciences)",bio
b.e biotechnology,bio
b.e. biotechnology,bio
b.e.biomedical engineering,bio
b.pharm,bio
b.pharm (hons.),bio
b.pharmacy,bio
b.pharmacy(hons.),bio
b.tech bio tech ,bio
b.tech bioinformatics,bio
b.tech biomedical engg,bio
b.tech biotechnology,bio
b.tech in biomedical engineering,bio
b.tech(biotechnology),bio
bachelor  of pharmacy,bio
bachelor of dental sciences,bio
bachelor of pharmacy,bio
bachelors in pharmacy,bio
bds,bio
be biotechnology,bio
bio engineering,bio
bio informatics engineering,bio
bio medical,bio
bio medical department,bio
bio medical department:,bio
bio medical engineering,bio
bio medical science,bio
bio process,bio
bio tech,bio
bio technology,bio
biochem,bio
biochemical engineering,bio
biochemistry,bio
biochemistry and molecular biology,bio
biochemistry and molecular biology ,bio
biodiversity,bio
bioelectronics,bio
bioengineering,bio
bioengineering - tissue engineering,bio
bioiformatics,bio
bioinfomatics,bio
bio-informatics,bio
bioinformatics,bio
bioinformatics (information science),bio
bioinformatics and computational biology,bio
bioinformatics center,bio
biological engineering,bio
"biological sci, computer science",bio
biological sciences,bio
biological sciences ,bio
"biological sciences ,civil engg dual",bio
biological sciences and bioengineering,bio
biological sciences and computer science (dual),bio
biological sciences with mechanical,bio
"biological sciences, biotechnology,",bio
"biological sciences, electronics & instrumentation",bio
"biological sciences,mechanical engineering",bio
biology,bio
biology-genetics,bio
biomed,bio
biomedcal engg,bio
biomedica,bio
biomedical,bio
bio-medical,bio
biomedical engg,bio
biomedical engg.,bio
biomedical engineeirng,bio
bio-medical engineering,bio
biomedical engineering,bio
biomedical engineering ,bio
biomedical engineeringf,bio
biomedical engineerinh,bio
biomedical engineerong,bio
biomedical ewngineering,bio
biomedical genetics,bio
biomedical instrumentation,bio
biomedical instrumentation engineering,bio
biomedical science,bio
biomedical sciences,bio
biomedical sciences ,bio
bioprocess engineering,bio
bioresource/biosystems engg,bio
bioscience,bio
bioscience phd program,bio
bioscience phd program:,bio
biosciences,bio
biosystems engineering,bio
biot,bio
biotech,bio
biotech and dual degree (it),bio
biotechnolgoy,bio
biotechnolgy,bio
biotechnolnogy,bio
biotechnology,bio
bio-technology,bio
biotechnology ,bio
biotechnology & bioinformatics,bio
biotechnology (b.tech),bio
biotechnology and biochemical engineering,bio
biotechnology and bioinformatics,bio
biotechnology and environmental sciences,bio
biotechnology and medical engineering,bio
biotechnology be,bio
biotechnology engineering,bio
"biotechnology, genetics, biochemistry",bio
biotechnology/bio-engineering,bio
biotechnoology,bio
biotechonology,bio
biotecnology,bio
biotehnology,bio
bitechnology,bio
bme,bio
bmes,bio
bmm,bio
botany,bio
bpharm,bio
bpharmacy,bio
bsc microbiology,bio
"bsc. biochemistry, microbiology,chemistry",bio
"btech, biotechnology",bio
btech. biotechnology,bio
btech-bioinformatics,bio
cancer biology,bio
cell and molecular biology,bio
clinical research,bio
clinical research ,bio
computational biology,bio
dental,bio
dental ,bio
dental surgery,bio
department of bio-science and biotechnology,bio
department of biotechnology,bio
department of biotechnology and bioinformatics,bio
department of botany,bio
department of molecular and cellular engineering,bio
department of molecular biology & biotechnology,bio
department: of bio-science and biotechnology,bio
department: of biotechnology,bio
department: of biotechnology and bioinformatics,bio
department: of molecular biology & biotechnology,bio
dept of bioinformatics and biotechnology,bio
dept of biological sciences,bio
dept of biomedical engg,bio
dept. of bioinfo and biotech,bio
dept. of biotechnology & bioinformatics,bio
dept. of biotechnology and bioinformatics,bio
deptt. of pharmaceutical sciences and drug research,bio
indistrial biotechnology,bio
industrail biotechnology,bio
industrial biotechnology,bio
institute of bioinformatics and biotechnology,bio
institute of pharmacy,bio
life science,bio
life sciences,bio
life sciences and biochemisrty,bio
m.p.c,bio
m.pharmacy,bio
m.s.ramaiah college of pharmacy,bio
med,bio
medical electronics,bio
medical electronics engineering,bio
medical laboratory technology,bio
medical microbiology,bio
medical nanotechnology,bio
medicine,bio
medicine ,bio
mgms institute of biotechnology,bio
microbiology,bio
microbiology / biotechnology,bio
microbiology and biochem,bio
microbiology department,bio
microbiology department:,bio
molecular and cellular engg,bio
molecular bioengineering,bio
molecular biology and genetic engineering,bio
molecular biology and genetic engineering ,bio
msc (hons) biological science & be (hons) computer science,bio
msc biotechnology,bio
msc.biology with b.e. in eee,bio
national institute of virology,bio
oral biology,bio
oral medicine,bio
phamacoinformatics,bio
pharamcy,bio
pharma,bio
pharmaceutical analysis and quality assurance,bio
pharmaceutical cheimistry,bio
pharmaceutical chemistry,bio
pharmaceutical science and technology,bio
pharmaceutical sciences,bio
pharmaceutical sciences and technology,bio
pharmaceutical technology,bio
pharmacoinformatics,bio
pharmact,bio
pharmacty,bio
pharmacy administration,bio
pharmacy and health sciences,bio
pharmacy and technology management,bio
physical  therapy,bio
physiotherapy,bio
plant pathology,bio
school of biochemical engineering,bio
school of biomedicl engineering,bio
school of bio-sciences & technology,bio
school of biotechnology,bio
school of dentistry,bio
school of pharmacy,bio
system and biomedical,bio
systems biology and physiology,bio
translational biotechnology,bio
"uiet, b.e.-biotechnology",bio
undergrad major: bioinformatics,bio
veterinary medicine,bio
veterinary sciences,bio
zoology+ biotechnology,bio
applied chemistry & chemical engineering,chem
b.e chemical,chem
b.tech chemical,chem
b.tech. chemical engineering,chem
be(hons) chemical engineering,chem
chem,chem
chem eng,chem
chem engg,chem
"chem,biochem,microbiology",chem
chem/nuclear,chem
chemcal,chem
chemcal engineering,chem
chemcial engg,chem
chemcial engineering,chem
cheme,chem
chemeng,chem
chemica and electrochemical engg,chem
chemical,chem
chemical and electrochemical engg,chem
chemical and electrochemical engineering,chem
chemical eng,chem
chemical eng.,chem
chemical engg,chem
chemical engg and material sciences,chem
chemical engg.,chem
chemical engi. + minor in cs,chem
chemical enginee,chem
chemical engineering,chem
chemical engineering ,chem
chemical engineering and polymer science,chem
chemical engineering division,chem
chemical engineerng,chem
chemical enginering,chem
chemical enginnering,chem
chemical sciences,chem
chemical technology,chem
chemical technology - paint technology - chemical technology,chem
chemical/environmental engg.,chem
chemistry,chem
chemistry ,chem
chemistry and eee and i groups,chem
department of chemical engineering,chem
department of chemical engineering and technology,chem
department of chemistry,chem
department of pharmaceutical chemistry,chem
department: of chemical engineering,chem
department: of chemical engineering and technology,chem
department: of chemistry,chem
department: of polymer science & applied chemistry,chem
dept.of chemical engg.,chem
dept.of petrochemical technology,chem
deptt. of chemistry,chem
engineering chemistry,chem
m.sc.(hons.) chemistry,chem
petrochemical,chem
"pharmaceutical sciences, chemistry",chem
polymer and chemical technology,chem
polymer science & chemical technology,chem
polymer science and chemical technology,chem
university institute of chemical engineering & technology,chem
b.tech civil,civil
be (civil),civil
be civil,civil
cicvil engineering,civil
cicvil engineering ,civil
ciivil,civil
cis,civil
cit,civil
civi engineering,civil
civil,civil
civil ,civil
civil  ,civil
civil & environmental engg.,civil
civil and environment engineering,civil
civil and environmental engg,civil
civil and environmental engineering department,civil
civil and environmental engineering department:,civil
civil and it - dual degree,civil
civil construction,civil
civil department,civil
civil department:,civil
civil dept,civil
civil dept.,civil
civil e,civil
civil emgineering,civil
civil eng,civil
civil engg,civil
"civil engg,",civil
civil engg.,civil
civil engineeering,civil
civil engineeing,civil
civil engineeirng,civil
civil engineer,civil
civil engineering,civil
civil engineering ,civil
civil engineering  hydraulics and water resources engineering,civil
civil engineering (agricultural and irrigation engineering degree),civil
civil engineering and dual degree in it,civil
civil engineering department,civil
civil engineering department:,civil
civil engineering dept,civil
civil engineering dept.,civil
civil engineerng,civil
civil enginnering,civil
civil infrastructure,civil
civil infrastructure ,civil
civilq,civil
construction engg,civil
construction engineering,civil
construction technology and management,civil
cpmb,civil
cvil engineering,civil
department of civil engineering,civil
dept of civil engg,civil
dept. of civil engineering,civil
school of civi engineering,civil
school of civil engineering,civil
structural,civil
`cs,cs
artificial intelligence,cs
b tech (hons) -cse,cs
b tech computer science,cs
b tech information technology,cs
b. sc it,cs
b. tech  bioinformatics,cs
b. tech it,cs
"b. tech, information technology",cs
b.e (cse),cs
b.e computer science,cs
b.e cse,cs
b.e in computer science,cs
b.e(hons) computer science & m.sc(hons) economics,cs
b.e.  it,cs
b.e. computer science,cs
b.e. cse,cs
b.e. in information technology,cs
b.e.(information technology),cs
"b.e.,computer science and engineering",cs
b.e.computer,cs
b.e.computer science and engineering,cs
b.e.i.t,cs
b.e-information technology,cs
b.s (i.t),cs
