URL,shanghai,usnews2016,qsworld2015
aut.ac.ir,151-200,,
berkeley.edu,3,1,6
carleton.ca,,,301-400
cce.umn.edu,,29,
cu.edu.eg,,,301-400
dartmouth.edu,,40,251-300
duke.edu,51-75 ,25,51-100
en.fcu.edu.tw,,,301-400
english.bit.edu.cn,,,151-200
english.bjut.edu.cn,,,251-300
english.bnu.edu.cn,,,301-400
english.hust.edu.cn,76-100 ,,201-250
english.pku.edu.cn,51-75 ,,36
english.swjtu.edu.cn,151-200,,
english.tau.ac.il,20,,51-100
eng.skku.edu,,,51-100
eng.spbu.ru,,,301-400
en.hit.edu.cn,76-100 ,,251-300
en.nagoya-u.ac.jp,,,251-300
en.sjtu.edu.cn,51-75 ,,51-100
en.uestc.edu.cn,101-150,,
en.unito.it,,,301-400
en.uoa.gr,151-200,,201-250
en.ustc.edu.cn,101-150,,101-150
en.uw.edu.pl,,,251-300
en.whu.edu.cn,101-150,,251-300
en.xidian.edu.cn,76-100 ,,301-400
ev.buaa.edu.cn,101-150 ,,251-300
futurestudents.yorku.ca,,,301-400
illinois.edu,14,5,30
in.bgu.ac.il,101-150 ,,251-300
jacobs-university.de,,,301-400
ksu.edu.sa,151-200,,201-250
missouri.edu,,101,
mq.edu.au,,,251-300
msu.edu,51-75 ,56,151-200
new.huji.ac.il,51-75 ,,101-150
nus.edu.sg,45,,11
oregonstate.edu,151-200,67,
portal.ulster.ac.uk,,,301-400
rpi.edu,151-200,52,201-250
sydney.edu.au,151-200,,36
tu-dresden.de,,,151-200
twin-cities.umn.edu,36,,151-200
ualberta.ca,51-75 ,,101-150
ucdavis.edu,24,34,101-150
uci.edu,29,29,51-100
uconn.edu,,82,
ucsd.edu,11,15,44
umich.edu,16,13,51-100
unige.it,,,251-300
uoregon.edu,,63,
uwaterloo.ca,76-100 ,,24
uwo.ca,,,201-250
w3.bilkent.edu.tr,,,251-300
wayne.edu,,112,
web.iit.edu,,101,251-300
web.mit.edu,2,1,1
web.ncku.edu.tw,101-150,,101-150
wsu.edu,,70,301-400
wustl.edu,,40,251-300
www1.biu.ac.il,151-200,,301-400
www1.lehigh.edu,,101,
www2.warwick.ac.uk,101-150,,101-150
www3.uni-bonn.de,76-100 ,,
www.aalto.fi,,,101-150
www.aau.dk,,,201-250
www.abdn.ac.uk,,,301-400
www.adelaide.edu.au,101-150,,101-150
www.agh....,,,301-400
www.ait.ac.th,,,301-400
www.albany.edu,,101,
www.anu.edu.au,101-150,,26
www.arizona.edu,151-200,40,251-300
www.asu.edu,33,48,201-250
www.auburn.edu,,90,
www.auckland.ac.nz,,,44
www.au.dk,,,101-150
www.aueb.gr,,,301-400
www.aut.ac.nz,,,251-300
www.auth.gr,,,251-300
www.bath.ac.uk,,,301-400
www.binghamton.edu,,112,
www.birmingham.ac.uk,151-200,,151-200
